,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
0,2,0,1,2,1,0,1,224,2017,10,2,0,0,0,0,65.0,0,0
1,2,0,2,3,0,0,1,5,2018,11,6,1,0,0,0,106.68,1,0
2,1,0,2,1,1,0,1,1,2018,2,28,1,0,0,0,60.0,0,1
3,2,0,0,2,1,0,1,211,2018,5,20,1,0,0,0,100.0,0,1
4,2,0,1,1,0,0,1,48,2018,4,11,1,0,0,0,94.5,0,1
5,2,0,0,2,2,0,1,346,2018,9,13,1,0,0,0,115.0,1,1
6,2,0,1,3,1,0,1,34,2017,10,15,1,0,0,0,107.55,1,0
7,2,0,1,3,1,0,4,83,2018,12,26,1,0,0,0,105.61,1,0
8,3,0,0,4,1,0,1,121,2018,7,6,0,0,0,0,96.9,1,0
9,2,0,0,5,1,0,4,44,2018,10,18,1,0,0,0,133.44,3,0
10,1,0,1,0,0,0,1,0,2018,9,11,1,0,0,0,85.03,0,0
11,1,0,2,1,1,0,4,35,2018,4,30,1,0,0,0,140.4,1,0
12,2,0,2,1,0,0,1,30,2018,11,26,1,0,0,0,88.0,0,1
13,1,0,2,0,1,0,1,95,2018,11,20,1,0,0,0,90.0,2,1
14,2,0,0,2,1,0,1,47,2017,10,20,1,0,0,0,94.5,2,0
15,2,0,0,2,2,0,1,256,2018,6,15,1,0,0,0,115.0,1,1
16,1,0,1,0,1,0,1,0,2017,10,5,0,0,0,0,96.0,0,0
17,2,0,1,3,0,0,1,1,2017,8,10,1,0,0,0,96.0,1,0
18,2,0,2,2,1,0,1,99,2017,10,30,1,0,0,0,65.0,0,1
19,2,0,1,0,1,0,1,12,2017,10,4,0,0,0,0,72.0,0,0
20,2,0,2,2,1,0,1,99,2017,10,30,1,0,0,0,65.0,0,1
21,1,0,0,1,1,0,1,122,2018,11,25,2,0,0,0,67.0,0,0
22,2,0,2,4,1,0,1,2,2018,3,20,0,0,0,0,85.0,0,0
23,2,0,0,3,1,0,1,37,2018,10,13,0,0,0,0,105.0,0,0
24,2,0,2,1,0,0,1,130,2018,5,22,1,0,0,0,94.5,1,0
25,2,0,0,2,1,0,1,99,2018,4,28,1,0,0,0,114.3,1,0
26,2,0,1,1,1,0,1,60,2017,9,21,0,0,0,0,65.0,0,0
27,1,0,0,2,1,0,4,2,2018,5,19,3,0,0,0,110.0,0,1
28,1,0,1,2,1,0,1,37,2017,11,6,1,0,0,0,37.33,0,1
29,2,0,0,2,2,0,1,56,2017,9,17,0,0,0,0,82.0,0,0
30,2,0,1,1,1,0,4,3,2017,9,19,1,0,0,0,177.5,1,0
31,2,0,2,2,1,0,1,107,2018,11,13,1,0,0,0,87.5,1,0
32,0,2,0,3,1,0,2,56,2018,12,7,1,0,0,0,82.44,1,0
33,2,0,0,1,0,0,1,2,2018,1,9,1,0,0,0,69.5,1,0
34,2,0,0,2,1,0,1,72,2018,10,7,0,0,0,0,85.5,0,0
35,2,0,0,1,0,1,1,23,2018,4,27,1,0,0,0,115.0,1,0
36,1,0,2,1,1,0,1,34,2018,6,19,1,0,0,0,81.0,0,1
37,2,0,0,1,1,0,1,289,2017,10,17,0,0,0,0,67.0,0,0
38,2,0,2,3,0,0,1,247,2018,11,19,1,0,0,0,63.75,0,1
39,2,0,2,1,1,0,4,186,2018,7,30,1,0,0,0,121.8,1,1
40,2,0,0,4,1,0,1,64,2018,11,1,1,0,0,0,93.6,2,0
41,2,0,0,2,1,0,1,35,2018,6,21,1,0,0,0,102.0,1,0
42,3,0,2,1,1,0,1,96,2018,4,10,1,0,0,0,121.8,1,0
43,2,0,1,1,0,0,1,41,2018,6,27,1,0,0,0,98.1,1,1
44,2,0,0,4,1,0,4,55,2017,11,18,0,0,0,0,60.0,1,0
45,2,0,0,3,1,0,1,146,2017,12,29,0,0,0,0,75.0,0,0
46,1,0,0,2,1,0,1,32,2017,11,20,0,0,0,0,73.0,0,0
47,2,0,0,1,2,0,1,55,2018,4,6,0,0,0,0,104.0,0,0
48,2,0,0,4,0,0,1,57,2018,11,1,1,0,0,0,79.2,1,0
49,1,0,1,3,1,0,4,7,2018,12,29,1,0,0,0,125.8,2,0
50,1,0,2,5,0,0,1,124,2018,5,30,1,0,0,0,87.95,0,0
51,2,0,2,2,2,0,1,169,2018,4,22,1,0,0,0,106.0,0,1
52,1,0,1,2,1,0,1,6,2018,5,16,1,0,0,0,136.67,1,0
53,2,0,0,4,1,0,4,51,2017,11,11,0,0,0,0,60.0,1,0
54,2,0,1,0,0,0,1,13,2018,6,13,1,0,0,0,89.0,2,0
55,2,0,1,3,1,0,1,100,2018,5,19,1,0,0,0,136.0,1,0
56,2,0,0,1,0,0,1,139,2018,7,28,1,0,0,0,94.5,1,0
57,2,0,1,2,1,0,1,117,2018,12,26,1,0,0,0,93.6,2,0
58,2,0,1,4,1,0,4,39,2018,4,20,1,0,0,0,120.6,0,1
59,2,0,0,3,1,0,4,86,2018,4,6,1,0,0,0,99.3,1,0
60,2,2,0,1,1,1,6,2,2018,9,2,1,0,0,0,258.0,1,0
61,1,0,0,3,1,0,4,19,2018,5,3,1,0,0,0,120.12,2,0
62,1,0,0,2,1,0,1,192,2018,6,24,0,0,0,0,95.0,0,0
63,1,0,0,1,1,0,1,2,2017,9,10,4,0,0,0,0.0,1,0
64,2,0,2,1,1,0,1,86,2018,12,18,0,0,0,0,75.0,0,0
65,2,0,0,3,1,0,4,30,2018,10,5,1,0,0,0,157.5,2,0
66,2,0,0,2,1,0,4,179,2018,6,3,1,0,0,0,97.7,1,0
67,2,0,0,2,1,0,4,26,2018,4,15,1,0,0,0,142.0,0,1
68,2,0,0,1,1,0,1,55,2018,4,6,0,0,0,0,80.0,0,0
69,2,0,1,2,1,0,1,74,2018,4,25,1,0,0,0,85.5,1,0
70,2,0,0,3,1,0,1,143,2018,8,25,0,0,0,0,100.0,0,0
71,2,0,1,0,0,0,1,34,2018,11,14,1,0,0,0,88.0,2,0
72,2,0,1,1,1,1,1,30,2018,8,29,1,0,0,0,122.85,1,0
73,2,0,0,2,1,0,1,177,2018,6,3,1,0,0,0,100.0,0,1
74,2,0,2,3,1,0,4,34,2017,10,25,0,0,0,0,75.0,0,0
75,2,0,1,4,1,0,4,18,2018,3,9,1,0,0,0,116.8,1,0
76,3,0,1,1,1,0,4,267,2018,12,31,1,0,0,0,121.5,0,0
